,course_id,semester,name,dept_id,department,credits,description,grading_method,gen_ed,core,sections,relationships.coreqs,relationships.prereqs,relationships.formerly,relationships.restrictions,relationships.additional_info,relationships.also_offered_as,relationships.credit_granted_for
10,AASP298L,202308,African-American Literature and Culture,AASP,African American Studies,3,"An exploration of the stories black authors tell about themselves, their communities, and the nation as informed by time and place, gender, sexuality, and class. African American perspective themes such as art, childhood, sexuality, marriage, alienation and mortality, as well as representations of slavery, Reconstruction, racial violence and the Nadir, legalized racism and segregation, black patriotism and black ex-patriots, the optimism of integration, and the prospects of a post-racial America.","['Regular', 'Pass-Fail', 'Audit']","[['DSHU', 'DVUP']]","['HL', 'D']",['AASP298L-0201'],,,,,Cross-listed with: ENGL234. Cross-listed with ENGL234. Credit granted for AASP298L or ENGL234.,,ENGL234 or AASP298L.
11,AASP298M,202308,Martin Luther King Jr.,AASP,African American Studies,3,"Examines the life and work of Martin Luther King, Jr. We immediately rethink the image of King who liberals and conservatives construct as a dreamer of better race relations. We engage the complexities of an individual, who articulated a moral compass of the nation, to explore racial justice in post-World War II America. This course gives special attention to King's post-1965 radicalism when he called for a reordering of American society, an end to the war in Vietnam, and supported sanitation workers striking for better wages and working conditions. Topics include King's notion of the ""beloved community"", the Social Gospel, liberalism, ""socially conscious democracy"", militancy, the politics of martyrdom, poverty and racial justice, and compensatory treatment. Primary sources form the core of our readings.","['Regular', 'Pass-Fail']",[['DSHS']],['D'],['AASP298M-0101'],,,,,"Cross-listed with: HIST108C, AMST189C.",,"HIST108C, AASP298M, or AMST189C."
12,AASP301,202308,Applied Policy Analysis and the Black Community,AASP,African American Studies,3,Development and application of the tools needed for examining the effectiveness of alternative policy options confronting minority communities. Review policy research methods used in forming and evaluating policies. Examination of the policy process.,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP301-0101'],,AASP101; and (ECON201 or ECON200).,,,Recommended: Completion of one semester of statistics is recommended.,,
13,AASP313,202308,Black Women in United States History,AASP,African American Studies,3,"Black American women's history from slavery to the present. Focused on gaining a fuller understanding of the effect of race, class and gender on the life cycles and multiple roles of Black women as mothers, daughters, wives, workers and social-change agents.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP313-0101'],,,WMST314.,Sophomore standing or higher.,"Cross-listed with: WGSS314.  For Fall 2020:  Credit granted for AASP313, HIST329E, or WMST314.",HIST329E.,"AASP313, WMST314 or WGSS314."
14,AASP320,202308,Poverty and African American Children,AASP,African American Studies,3,"The United States has high levels of child poverty compared to other industrialized nations. Poverty rates are particularly high among African American children. This course focuses on how poverty and race intersect to influence the development of children and youth. Specific topics that we will consider include definitions of poverty, theories about the causes of poverty, racial disparities in child poverty, family functioning in the context of poverty, neighborhood influences, risk and protective processes, and social policies and programs designed to mitigate the impact of poverty.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP320-0101'],,,AASP298P.,,,,AASP320 or AASP298P.
15,AASP350,202308,Cinema of the Black Atlantic,AASP,African American Studies,3,"This course examines cinema from the black Atlantic world, treating key films from Africa, the Caribbean, Latin America, and the United States. Anticolonial work by Ousmane Sembene and Sarah Maldoror, memory work by Haile Gerima and Julie Dash, and vernacular filmmaking by Charles Burnett, Spike Lee, Perry Henzell, Melvin Van Peebles, and others will introduce us to the varied concerns of Black filmmakers in moments of independence struggle and post-emancipation identity formation. While eclectic in selection, our examination of these films will be oriented around a pair of questions. What is antiblackness and how does cinema encounter, contemplate, and critique it? How do different geographies and historical experiences shift cultural and political concerns, as well as the methods of cinema along with those differing concerns? Such questions will allow us to see how questions of antiblackness and Black life operate in the between and overlapping spaces of colonial experience, ghettoization, and sites of resistance, rebellion, and radicalism.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP350-0101'],,,,,,,
16,AASP386,202308,Experiential Learning,AASP,African American Studies,3,Restriction: Permission of BSOS-African American Studies department; and junior standing or higher.,"['Regular', 'Pass-Fail']",[],[],['AASP386-0101'],,,,,,,
17,AASP397,202308,Senior Thesis,AASP,African American Studies,3,Directed research in African American Studies resulting in the completion and defense of a senior thesis.,"['Regular', 'Pass-Fail', 'Audit']",[],[],[],,,,Permission of BSOS-African American Studies department.,,,
18,AASP398B,202308,Selected Topics in the African Diaspora; Black Immigrants: Challenges and Impacts,AASP,African American Studies,3,Cross-listed with IMMR319D.   How does immigration affect Black communities in the United States? How are foreign Black affected by living in the United States? Students will learn about: US history of immigration policy; pull and push factors driving Black migration; comparisons in socioeconomic outcomes between foreign and native Blacks; and differences between 1st and 2nd generation Black immigrants.,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP398B-0101'],,,,,,,AASP398B or IMMR319D.
19,AASP398G,202308,"Selected Topics in the African Diaspora; Gender, Labor and Racial Identities in Diaspora Communities",AASP,African American Studies,3,Cross-listed with AMST328K.,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP398G-0101'],,,,,,,AASP398G or AMST328K.
20,AASP398Q,202308,Selected Topics in the African Diaspora; Black Baltimore in the Post Racial U.S: African American Urban Culture in the Age of Obama,AASP,African American Studies,3,Cross-listed with AMST328M.,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP398Q-0101'],,,,,,,AASP398Q or AMST328M.
21,AASP398V,202308,Selected Topics in the African Diaspora; African American Public History,AASP,African American Studies,3,"Cross-listed with HIST329J and AMST328F.   This course analyzes the field of public history through the lens of African American history, considering the myriad ways beyond the classroom that African American history is circulated and consumed by the general public. By examining museums, historic sites, monuments, films and documentaries, and the digital landscape, students will examine and critique how historical narratives focusing on the experiences of peoples of African descent in the United States have been constructed in public spaces.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP398V-0101'],,,,,,,"HIST329J, AASP398V, or AMST328F."
22,AASP398Z,202308,Selected Topics in the African Diaspora; Black Contributions to History,AASP,African American Studies,3,"This survey course sheds light on forgotten ingenuity, stolen scientific, and ignored legacy from pharaonic Egypt to the scramble for Africa (1885) to modern Black groundbreaking contributions that have changed the world. While the archeological investigation is focused on the pan-African world, the course is designed to encourage students to delve into their creative and critical thinking skills and to view themselves as inventors and problem solvers. This course also challenges students to grasp inventions that have already taken place in a particular historical context and cultural pluralism, as well as helps them to comprehend and apply scientific principles in everyday life.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP398Z-0101'],,,,,,,
23,AASP399,202308,Research in African-American Studies,AASP,African American Studies,1,,"['Regular', 'Pass-Fail']",[],[],[],,,,,,,
24,AASP417,202308,Emotions and Culture in the African American Community,AASP,African American Studies,3,"Emotions are affective states, both positive and negative, that reflect an individual's continuous stream of experience. The goal of this course is to introduce students to the role of culture and racism in shaping the ways in which African Americans experience, express, understand, and control emotions on a behavioral, physiological, and psychological level. We will begin with exploration of historical influences such as the role of African culture on contemporary African American norms of expressivity and the role of antebellum slavery, the eugenics movement, and blackface on stimulating contemporary stereotypes about African American emotional temperament (e.g., stereotypes regarding aggressiveness, anger, and violence). We will conclude with discussions of the impact of discrimination on emotional and physiological reactivity and factors that promote emotional resiliency. The course materials will require students to grapple with the contemptuous disconnect between the African American cultural tradition of free emotional expressivity and the survival strategy to control emotions in response to a society threatened by Black emotionality.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP417-0101'],,,AASP498E.,,,,AASP417 or AASP498E.
25,AASP498O,202308,"Special Topics in Black Culture; African American and Latino Social, Cultural and Political Relations: 1940 to Present",AASP,African American Studies,3,Cross-listed with USLT498E.,['Regular'],[],[],['AASP498O-0101'],,,,,,,AASP498O or USLT498E.
26,AASP498Y,202308,Special Topics in Black Culture; Black Queer Studies,AASP,African American Studies,3,Cross-listed with LGBT448L.,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP498Y-0101'],,,,,,,LGBT448L or AASP498Y.
27,AASP499N,202308,Advanced Topics in Public Policy and the Black Community; News Coverage of Racial Issues,AASP,African American Studies,3,,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AASP499N-0101'],,,,Junior standing or higher.,,,
28,AAST200,202308,Introduction to Asian American Studies,AAST,Asian American Studies,3,"The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective.","['Regular', 'Pass-Fail']","[['DSHS', 'DVUP']]","['SB', 'D']","['AAST200-0101', 'AAST200-0201']",,,,,Cross-listed with: AMST298C.,,AAST200 or AMST298C.
29,AAST222,202308,Immigration and Ethnicity in America,AAST,Asian American Studies,3,"The history of immigration and the development of diverse populations in the United States are examined. Topics include related political controversies, the social experiences of immigrants, ethnicity, generations, migration, inter-group relations, race and diversity in American culture.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'DVUP']]","['SH', 'D']",['AAST222-0101'],,,,,Cross-listed with: SOCY222.,,"AAST222, HIST222, or SOCY222."
30,AAST262,202308,Asian American Psychology,AAST,Asian American Studies,3,"An overview of how socio-cultural influences impact the development and psychological health of Asian Americans. Other topics include how minority group status, adaptation and identity development influence various aspects of psychological functioning; the role of historic systematic racism; and, how the COVID-19 pandemic has negatively impacted Asian Americans. Students develop a deeper understanding of the role of stereotypes and racism, acculturation, racial identity development, cultural values, gender socialization, behavioral norms, family roles, stressors and social support systems on the mental health, well-being and health of Asian Americans.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AAST262-0101'],,,PSYC489Z.,,Cross-listed with: PSYC262.,,"PSYC262, AAST262 or PSYC489Z."
31,AAST298O,202308,Special Topics in Asian American Studies; The South Asian American Experience,AAST,Asian American Studies,3,,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AAST298O-0101'],,,,,,,
32,AAST351,202308,Asian Americans and Media,AAST,Asian American Studies,3,"From yellow peril invaders to model minority allies, Asian Americans have crafted their own dynamic cultural expressions in a number of media from film, television, and music to fashion, sports, and food that reveal and contest the contradictions of the U.S. nation-state. Asian American culture also uniquely sits at the nexus of immigration flows and digital technologies, providing a transnational lens to view the US place in the world. This advanced course, then, will introduce students to the study and practice of Asian American cyktyre as multiple , hybrid, and heterogeneous. It will do so through three sections: section one will introduce students to classical, cultural, and media concepts as well as relevant keywords outlined by Asian American Studies scholars; section two will review the work of Asian American cultural theorists; section three will focus on analyses of particular Asian American cultural productions. In doing so, students will gain an understanding of the shifting and interlocking tensions among the local, the national, and the global that form the cultural geographies of Asian America.","['Regular', 'Pass-Fail']","[['DSSP', 'DVUP']]",[],['AAST351-0101'],,,"AAST398M, AAST398N.",,,,"AAST351, AAST398M or AAST398N."
33,AAST355,202308,Asian Americans in Film,AAST,Asian American Studies,3,"Explores how Asian Americans have historically been represented in the U.S. by Hollywood, and in turn, how independent and Hollywood Asian American filmmakers have represented themselves. It covers the history of racial, gendered, and sexualized representations of Asian Americans in Hollywood, as well as Asian American filmic responses within and outside Hollywood. It also introduces how four basic tools of film analysis mise-en-scene, cinematography, editing and sound work together to create meaning in moving images. It examines how these elements are put together in three different types of films by Asian American filmmakers: narrative, documentary, and experimental. How films function in society to circulate ideas that reproduce and challenge stereotypes about Asian Americans.","['Regular', 'Pass-Fail', 'Audit']","[['DSHU', 'DVUP']]",[],['AAST355-0101'],,,398L.,,Cross-listed with: AMST328W.,,"AAST355, AAST398L or AMST328W."
34,AAST363,202308,Filipino American History and Biography,AAST,Asian American Studies,3,"Focus is placed on Filipino American experiences with an emphasis on identity, community building and organizing to influence public policy We will cover pertinent events from the US and Philippine history in order to understand the impact of colonialism, migration, immigration and assimilation on Filipino Americans.","['Regular', 'Pass-Fail']","[['DSHS', 'DVUP']]",[],['AAST363-0101'],,,AAST398D.,,Cross-listed with: AMST323.,,"AAST363, AMST323, AAST398D, or AMST328J."
35,AAST378,202308,Experiential Learning,AAST,Asian American Studies,3,,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AAST378-0101'],,,,,,,
36,AAST388,202308,Independent Research,AAST,Asian American Studies,1,,"['Regular', 'Pass-Fail', 'Audit']",[],[],"['AAST388-0101', 'AAST388-0201', 'AAST388-0301', 'AAST388-0401']",,,,,,,
37,AAST394,202308,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,AAST,Asian American Studies,3,"An interdisciplinary course examines the experiences of children of Asian immigrants in the U.S., focusing on intergenerational dynamics in the Asian immigrant family, their intersections with race, gender, class, sexuality, and religion, and how these shape second-generation Asian American life. Topics include identity and personhood, the model minority myth and education, work and leisure, language and communication, filiality and disownment, mental health and suicide.",['Regular'],[['DVCC']],[],['AAST394-0101'],,,AAST398E.,,"Cross-listed with: AMST324, IMMR394.",,"AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394."
38,AAST498G,202308,Advanced Topics in Asian American Studies; Asian American Women and Gender,AAST,Asian American Studies,3,,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AAST498G-0101'],,,,,,,
39,ABRM330,202308,Introduction to Anti-Black Racism,ABRM,Anti-Black Racism,3,"This interdisciplinary course seeks to provide a broad overview of this rich and dynamic history. Built around the expertise of top UMD faculty in five colleges, this course will introduce students to the history and legacy of anti-Black racism from the perspective of multiple disciplines. In this course you will examine the development, spread, and articulations of anti-Black racism in the United States.","['Regular', 'Pass-Fail', 'Audit']",[],[],['ABRM330-0101'],,,,Must be in the Anti-Black Racism minor.,,,
40,AGNR200,202308,AGNR 2+2 Program  Extended Orientation Seminar,AGNR,Agriculture and Natural Resources,1,"Introduces AGNR 2+2 students to University and ""American"" life. Assists with their successful transition to the College and Agriculture and Natural Resources and the University of Maryland. Helps students to understand their place in AGNR at to learn about the resources available to them.",['Regular'],[],[],['AGNR200-0101'],,Must be a first semester international student enrolled in the AGNR 2+2 Program.,,Must be a first year international student enrolled in the College of Agriculture and Natural Resources 2+2 Program.,It is strongly recommended that AGNR 2+2 students take AGNR 200 during the first semester at the University.      One class meeting per week.  This courses is initiated by International Programs and will be coordinated in conjunction with the College of AGNR.,,
41,AGNR301,202308,Sustainability,AGNR,Agriculture and Natural Resources,3,Designed for students whose academic majors would be enhanced by the complementary study of a widely shared but hard-to-operationalize aspiration: that present choices should preserve or improve future options rather than foreclose or degrade them. How should we understand sustainability? How might we achieve it? How would we know if we had achieved it? And how could sustainability activists of a rising generation lead by example?,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AGNR301-0101'],,,PUAF301.,,Cross-listed with: PLCY301.,,"AGNR301, PUAF301, or PLCY301."
42,AGNR388,202308,Honors Thesis Research,AGNR,Agriculture and Natural Resources,3,,['Regular'],[],[],['AGNR388-0101'],,,,,,,
43,AGNR499,202308,Special Problems; Special Problems,AGNR,Agriculture and Natural Resources,1,,"['Regular', 'Pass-Fail', 'Audit']",[],[],['AGNR499-0102'],,,,,,,
44,AGNR630,202308,Teaching-Learning in Adult and Continuing Education,AGNR,Agriculture and Natural Resources,3,The teaching/learning process in adult continuing education. Instructional techniques and methodologies appropriate for adults. The curriculum development process. Issues and priorities in adult continuing education.,['Regular'],[],[],['AGNR630-0101'],,,AGRI630.,,,,
45,AGST130,202308,Did Yeast Create Civilization?,AGST,Agricultural Science and Technology,3,"Fermented foods have played a major role in the transition from nomadic to settled agrarian societies, the establishment of social and religious customs, the expansion of empires, and modern economies.  To what extent are our past and current attitudes towards fermented foods rooted in historical and cultural imprints? Explore the central role of fermentation in human history and culture, the basic microbiological processes underlying fermentation processes, and the processes used to produce and distribute fermented foods. Find out how the fruits, grains, and dairy products used to produce fermented foods are grown and selected.  Students will learn about the development and modern use of fermented dairy products, pickles, bread, tea, chocolate, wine, beer, distilled liquors, and pharmaceutical/manufactured products.","['Regular', 'Pass-Fail', 'Audit']","[['DSHS', 'SCIS']]",[],"['AGST130-0101', 'AGST130-0102', 'AGST130-ESG1']",,,,,"Recommended: CHEM103, CHEM131, CHEM135, or CHEM146. Cross-listed with: PLSC130. This course is not hands-on and does not teach how to ferment food.",,AGST130 or PLSC130.
46,AGST307,202308,Mentorship in Agronomy and Career Exploration,AGST,Agricultural Science and Technology,1,An introduction to the Agronomy Mentor Program as well as an introduction to the broad spectrum of career opportunities in agronomic farming. This course is an overview of the Agronomy Mentor Program and students will have the opportunity to learn about various career paths in the agronomic farm industry.  Presentations by industry leaders and discussions with farm professionals will be an integral part of this course. Following the completion of this course students will eligible to register for the Mentorship in Agronomy course (AGST308).,['Regular'],[],[],['AGST307-0101'],,"PLSC101 or (PLSC112 and PLSC113), PLSC407, ENST200, MATH113 or higher, and ENGL101.",,Must be in the Agricultural Science and Technology-Agronomy major (0101A); and must have completed all prerequisite courses with a minimum grade of C-; and must have earned a minimum of 15 credits in the Agricultural Science and Technology Agronomy major; and sophomore or higher standing; and permission of AGNR-Department of Plant Sciences and Landscape Architecture.,Recommended: ANSC101 and ANSC103.,,
47,AGST333,202308,Crafty Beverage Crops,AGST,Agricultural Science and Technology,3,"From soda to wine, a scientific introduction to ""crafty beverage crops"". Students will expand their horticulture knowledge and gain an appreciation for craft beverages and the plants that made them. Topics include history, biology, production and management techniques, harvest, storage and market potential for crafty beverage crops.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AGST333-0101'],,,,,"Recommended: PLSC110 or PLSC112; or 1 course in BSCI, BCHM, BIOL.",,
48,AGST426,202308,Scientists Teaching and Translating Science,AGST,Agricultural Science and Technology,3,"Explore methods in pedagogy and andragogy to facilitate science learning through the development of a teaching philosophy, outreach teaching skills, motivation in learning, assessment foundations, and review of current literature on instruction in science fields.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AGST426-0101'],,,PLSC489L.,,,,AGST426 or PLSC489L.
49,AGST440,202308,"Exploring Maryland Agriculture, Agricultural Industry, and Agricultural Literacy",AGST,Agricultural Science and Technology,3,"Explore the mission and history of the Land Grant System as well as current work conducted through the University of Maryland to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems as well as the development of advisory boards.","['Regular', 'Pass-Fail', 'Audit']",[],[],['AGST440-0101'],,,,,,,
50,AGST640,202308,Analysis of Maryland Agriculture,AGST,Agricultural Science and Technology,3,"An advanced research focused course on examining the mission and history of the Land Grant System as well as appraising the current work conducted through the University of Maryland Extension to extend research to citizens. Often referred to as America in miniature, Maryland boasts diverse people, agricultural practices, cultures, and ecosystems which students will examine to perceive the decision making processes within and across ecological systems. An enriching field practicum with an agricultural agency is required.","['Regular', 'Audit']",[],[],['AGST640-0101'],,,,,,,
51,AMSC460,202308,Computational Methods,AMSC,Applied Mathematics & Scientific Computation,3,"Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences.","['Regular', 'Pass-Fail']",[],[],"['AMSC460-0101', 'AMSC460-0201', 'AMSC460-0301', 'AMSC460-0401']",,"1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.",,,Cross-listed with: CMSC460.,,"AMSC460, AMSC466, CMSC460, or CMSC466."
52,AMSC466,202308,Introduction to Numerical Analysis I,AMSC,Applied Mathematics & Scientific Computation,3,"Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations.","['Regular', 'Pass-Fail']",[],[],['AMSC466-0101'],,"1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.",,,Cross-listed with: CMSC466. Click here for more course information.,,"AMSC460, CMSC460, AMSC466, or CMSC466."
53,AMSC498A,202308,Selected Topics in Applied Mathematics,AMSC,Applied Mathematics & Scientific Computation,1,,"['Regular', 'Pass-Fail', 'Audit']",[],[],[],,,,,,,
54,AMSC660,202308,Scientific Computing I,AMSC,Applied Mathematics & Scientific Computation,3,"Monte Carlo simulation, numerical linear algebra, nonlinear systems and continuation method, optimization, ordinary differential equations. Fundamental techniques in scientific computation with an introduction to the theory and software for each topic.","['Regular', 'Audit']",[],[],['AMSC660-0101'],,"Must have suitable programming experience, such as in Matlab, Python, C or Fortran.",,,Cross-listed with: CMSC660.,,AMSC660 or CMSC660.
55,AMSC673,202308,Partial Differential Equations I,AMSC,Applied Mathematics & Scientific Computation,3,"Analysis of boundary value problems for Laplace's equation, initial value problems for the heat and wave equations. Fundamental solutions, maximum principles, energy methods. First order nonlinear PDE, conservation laws. Characteristics, shock formation, weak solutions. Distributions, Fourier transform.","['Regular', 'Audit']",[],[],['AMSC673-0101'],,MATH411; or students who have taken courses with comparable content may contact the department.,,,Cross-listed with: MATH673. Offered fall only. Cross-listed with MATH673.,,AMSC673 or MATH673.
56,AMSC689,202308,Research Interactions in Applied Mathematics and Scientific Computation,AMSC,Applied Mathematics & Scientific Computation,1,,"['Regular', 'Audit']",[],[],[],,,,,,,
57,AMSC698D,202308,Advanced Topics in Applied Mathematics; Fast Multipole Methods: Fundamentals and Applications,AMSC,Applied Mathematics & Scientific Computation,3,Cross-listed with CMSC878B.,"['Regular', 'Audit']",[],[],['AMSC698D-0101'],,,,,,,CMSC878B or AMSC698D.
58,AMSC760,202308,Applied Statistics Practicum,AMSC,Applied Mathematics & Scientific Computation,3,"A semester long applied applied statistical project (a minimum 10 hours per week or 120 hours in total), in an internship of collaborative research-laboratory setting working on a substantive applied quantitative project with significant statistical content.",['Regular'],[],[],['AMSC760-0101'],,Must have completed one year of graduate study in Applied Statistics.,,Must have project proposal approved by SAC coordinator.,,,
59,AMSC762,202308,Data Analysis Project,AMSC,Applied Mathematics & Scientific Computation,1,"This course cannot be used to meet any of the Applied Statistics Area's seminar requirements. Offered yearly, required of and limited to MS non-thesis and doctoral students in Applied Statistics Area, for whom the resulting projects serve as a Qualifying Exam component. After 5-6 lectures or presentations on components of successful data analyses and write-ups, 3-4 sessions will discuss previous student project submissions. The culminating project, to be completed in a two week period between semesters, is an analysis and written report of one of three project choices made available each year to represent a spectrum of realistic applied statistical problems.",['Regular'],[],[],['AMSC762-0101'],,,,Permission of CMNS-Applied Mathematics department; and permission of instructor.,,,
60,AMSC763,202308,Advanced Linear Numerical Analysis,AMSC,Applied Mathematics & Scientific Computation,3,"Advanced topics in numerical linear algebra, such as dense eigenvalue problems, sparse elimination, iterative methods, and other topics.","['Regular', 'Audit']",[],[],['AMSC763-0101'],,AMSC666 or CMSC666; or permission of instructor.,AMSC600 and CMSC760.,,Cross-listed with: CMSC763.,,"AMSC600, AMSC763, CMSC760, or CMSC763."
61,AMSC799,202308,Master's Thesis Research,AMSC,Applied Mathematics & Scientific Computation,1,,['Sat-Fail'],[],[],[],,,,,,,
62,AMSC808A,202308,Advanced Topics in Applied Mathematics,AMSC,Applied Mathematics & Scientific Computation,1,,"['Regular', 'Audit']",[],[],[],,,,,,,
63,AMSC898,202308,Pre-Candidacy Research,AMSC,Applied Mathematics & Scientific Computation,1,,['Sat-Fail'],[],[],[],,,,,,,
64,AMSC899,202308,Doctoral Dissertation Research,AMSC,Applied Mathematics & Scientific Computation,6,,['Sat-Fail'],[],[],[],,,,,,,
